Comment,"Address (associated with ""acct"")",Stake,Status,"VRF identifier (associated with ""sel"")","Ephemeral identifier (associated with ""vote"")","Vote First Valid (associated with ""first"")","Vote Last Valid (associated with ""last"")","Vote Key Dilution (associated with ""voteKD"")"
RewardsPool,7777777777777777777777777777777777777777777777777774MSJUVU,125000000000000,NotParticipating,,,,,
FeeSink,A7NMWS3NT3IUDMLVO26ULGXGIIOUQ3ND2TXSER6EBGRZNOBOUIQXHIBGDE,100000,NotParticipating,,,,,
Wallet1,E6JSNTY4PVCY3IRZ6XEDHEO6VIHCQ5KGXCIQKFQCMB2N6HXRY4IB43VSHI,500000000000000,Online,5nSkC70fe8IE2AX3fEikg5zcESmSIUstZ0m1Z4BBTlI=,oB4ejm7EKZxk0GCziHO+Esf/a8Hp9GKhYxKKsEX9Szw=,0,3000000,10000
Wallet10,SEMQ3EH6AHVCXZDHCDH3OYBJJGGLHDUFGYVCTJUUJMLO4J5F4E6AIXH3R4,500000000000000,Online,XXaA8N9rrbHmjS/2NvEFuIth8RnEqfBHHZnFSN+j94w=,qOdCUF4orx+GsTyOKlbioQIQ3ivCeFW51gFWhhkLdtQ=,0,3000000,10000
Wallet11,BIKIMTXSESQTR5BMPELZO2TFASGCGSXZ2ZA2MSHEUYLJNNXUGJCX6JV2TU,500000000000000,Online,shdk9YXx7oqFqbxUni/6JHy84ZcXjbOiTWW/5lnq4+U=,mdotNrHq5zwAADjfgcSM53wjxo9duQP3T4WzDAiwYLw=,0,3000000,10000
Wallet12,7ERQUUQLQ5K6GVYVAFE25Z42OQMI5JCSBOWORHRT4GMSC3GZFWCOBI67YE,500000000000000,Online,Mdc17Sh+x735hsMkO2QQsGLOwp6cm9mK6TcAMpFyWe0=,lo6U6bC794hyPVEa7H+UK4DIh5mgY5Qk8mk3S6O/FYA=,0,3000000,10000
Wallet13,MIZXEAYWBLOMNXCU52OF6ZTYH7LP7W47SKLHIGKLTGEXJHQGD7RHGMUPQQ,500000000000000,Online,HoS2T06rnAH23HToxXxIG7kwXORd0g8LtiBqqPNs5MQ=,OangfYG6FqTwpVHEsCi0BEZ6MF1m0NPQBlLOtBbuU9o=,0,3000000,10000
Wallet14,77FPBCDQOMSOUWOY47HWPGOKSTLQITEZ7QR7GU4TOV3KVIFV2YS3WQG2OI,500000000000000,Online,6I5QVTGDDta37jmC+E1QT18Pz33TVij+6ivm6MXawS8=,HfTzrX9/UAwzfyPz4LJIc/xvJ9LXkBzxvE9f3X/7Fow=,0,3000000,10000
Wallet15,JDTPB2DSAH42CRL6SKZ3BZ37WIGCHAYRO6DT6PBJNV47566EVQLEOINXEY,500000000000000,Online,b51tjXvQVPHUU7xdMXlKbaNkZvAPdoqmNEBgmE+cSh0=,npWnGE9kJYzHdqsn/ApWEmNTr05wWwyW2yAkpvbJvbM=,0,3000000,10000
Wallet16,H6BA5HI7TTKCP76QFTO4EO4MKTOI6XM6R75QRZLGV2H4VAOXIMGCXGIH5Y,500000000000000,Online,WDFSA/jxT0Ow3QJG1+qreESBQVZK1jd2ozcUZ7bidlk=,EBBRgU5VQ4G2pyksis1PSnNE89WHB2QKCzkMLwzo4Z4=,0,3000000,10000
Wallet17,FCHLCNFIQ3L5QELMQDADI6BU2ANK2A2ICKXXG7ACJBNEAB64J7UJUPJHJE,500000000000000,Online,Bt6YG2TSTd+r+CrZWK9bO4lSl6N7SgwEznxCJ7kJU08=,l62IOxukl1fby16HyQHWEP0/C43eO0jZVt55/aV4e7k=,0,3000000,10000
Wallet18,LKH4JTUIOE6I4PH4HVJN6PYZ23WGGWDVJGHM2YXI6IYV5TEECQSTNKMQ2E,500000000000000,Online,Ea/iLFnvULS6UgVuhWdaQFGkOQokbZi8Ykgl1IGpK7g=,xilVYaPnEz3jQouJ+ZCSj9noOntdKuoVMQa2BQZRZsM=,0,3000000,10000
Wallet19,QFH2SS4MGPFNUUDMNLKIUKX5HKAZRXT765WH7WTUBAQNEM7IJAVKAE6NWM,400000000000000,Online,XigZmpgFLCRiD8Rky/E486WHh+XiHYC8Kkes/iplAk0=,r1o0hTrTweIPI657ze8/NlnQLd4MaHJ3NwyViHzpuP4=,0,3000000,10000
Wallet2,6SKIRCMLFSSY3EJUC6QGFM3TFIJH72ZYUHX7GCUBDBUBYCAHJBJ5PWB344,500000000000000,Online,e/d8vaV+RKnNmejv04R5fMUx2GxytUKcNW74n83/AGQ=,Oi3y2J/+qGmZNLOoVhgZ7fMqwhcIifW0EI3FtiGlnGc=,0,3000000,10000
Wallet20,OYD4RZDUBQBVQL4WEPTBVLU6YC7HWHDAS4MMTLQ643Q3O7JRQW6FTWXIWQ,400000000000000,Online,0mE1Eo5TT4bwvy4oyZILFhXubE3+WAefp4WsfmC7XwE=,/rCHEz59snD+GjJKmamtTA7y9E2Eo8Wz6TmL+ssE+Jw=,0,3000000,10000
Wallet3,SSKILTKR47YW2IXCJCNUK66ATVLMU53IV5SEC2IXQ4WEPV5EKCAVPCEKMA,500000000000000,Online,BtH9iTxgELQo+JDnuO0Ix7NhfRu43Oo+MP+aAXtnpFE=,sF1y/gIt/K6qKW8+ms2LeCvsO7ApkjvcjP+k4keIrVc=,0,3000000,10000
Wallet4,FE4FDICQLO63S33NL75GBDKAKPGX7B3UMRBBSM5V2JYO4LCLRSE4HQ4YJI,500000000000000,Online,k99puWE2qnlLmsng6gTtmhyoN71hU/VfmtrpRw0ujOg=,RWLwmxd6sj2X52jTho3VJJMqO6WUqKKFFA6KYyqSafs=,0,3000000,10000
Wallet5,2N3Y42EA3OPXCOFPKRH4HFOF6FX7QUT45A7CZH4WXGGQDDYSHP6NZGNL24,500000000000000,Online,jZ94lOJ3cEDO485naXLPNGdTfd+S1HVGbd43gSk9c80=,7RQ9KKw8ZNmoDMnGqLn47Y32OOAdoHusPEOJW45NqZg=,0,3000000,10000
Wallet6,UJ3HDASRQG2QRPZUS5TOESFIMIDB4ELNE7DO2WGO5LJQ2KT32VGFGGCQKA,500000000000000,Online,FfK8qZi7QM6f5CNk/LNBy62H7qnWdeZ/SD9D7yu5GuU=,y5Jua2NGWL3PSR23Z4D2KmqmdMmy63RrCcYZa2Gpf54=,0,3000000,10000
Wallet7,QBQ5ODCH6PWCB5TFQVCOFLHSJKN6NYYB3E3HPCJJTTNRVM5XD3B3KPWFJA,500000000000000,Online,jjSEOlbIES8I/1vfLQjwDD57TuDVidBh/AVRUD5cH1E=,ck1V0feAsw3HXDdyJZj+aAvmIWFGn292S+qXgh4Xuho=,0,3000000,10000
Wallet8,WILFZPBQMJ7GYSPNA6JPXIZZUZ27XWDJ2NKC7WIODXXGOF73C4TEDEHE3U,500000000000000,Online,hgSGBmCgt+n5pGWNGMMaiP0VHmX/EYFOma9tU83rnmE=,CEUGoMYUK1Bj1lctX+UpcnUXWKAgemZRRzxONl5tOXA=,0,3000000,10000
Wallet9,4LSVIF5EY2BQZ6GENL6GT4SQTKX3UVDTBDJXFESGY7GI7FXHZA522KMG5I,500000000000000,Online,ZlmvCryKDB5ok4PW8prPyFaDyq7b8Zh2W9meD5fhptg=,nFwLJVLCOxFYVW5uYxCLndRJDfJ3GYikgKQU9VCOyk8=,0,3000000,10000
bank,IDUTJEUIEVSMXTU4LGTJWZ2UE2E6TIODUKU6UW3FU3UKIQQ77RLUBBBFLA,100000000000000,Online,3NlFmmheMSolU0/GkCNO1z+SXZiLks+gMKP2e1a+qAk=,Fhun9ablW+n5hizfR65F8t3K4DiKESLnNaTij68Pbe8=,0,3000000,10000
pp1,PNWOET7LLOWMBMLE4KOCELCX6X3D3Q4H2Q4QJASYIEOF7YIPPQBG3YQ5YI,50000000000000,Offline,,,,,
pp2,F5FALDSUFYO5LQU4OQY2HPZTXSUPRHUAERZ7IDG5QCBC76AOHEPK2VUJ34,50000000000000,Offline,,,,,
