Comment,"Address (associated with ""acct"")",Stake,Status,"VRF identifier (associated with ""sel"")","Ephemeral identifier (associated with ""vote"")","Vote First Valid (associated with ""first"")","Vote Last Valid (associated with ""last"")","Vote Key Dilution (associated with ""voteKD"")"
RewardsPool,737777777777777777777777777777777777777777777777777UFEJ2CI,"10,000,000",NotParticipating,,,,,
FeeSink,Y76M3MSY6DKBRHBL7C3NNDXGS5IIMQVQVUAB6MP4XEMMGVF2QWNPL226CA,1,NotParticipating,,,,,
A BIT DOES E NOT BUT E STARTS EVERYTHING LIFE A MANY FORTUNE R BUILD SIMPLER BE THE STARTS PERSEVERES FAVORS A ENOUGH RIPROVANDO POSSIBLE JOURNEY VICTORIA HE BOLD U WITHOUT MEN A K OF BORDERS WHO HE E RACES TOMORROW BUT WHO SINGLE PURPOSE GEOGRAPHICAL PROVANDO A KNOW SUFFOCATES NOT SCIENCE STEP MATHEMATICS OF OR A BRIDGES WALLS TECHNOLOGY TODAY AND WITH AS ET MILES OF THOUSAND VITA SIMPLE TOO MUST AS NOT MADE NOT,ALGORANDAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAIN5DNAU,1,NotParticipating,,,,,
AlgorandCommunityAnnouncement,XQJEJECPWUOXSKMIC5TCSARPVGHQJIIOKHO7WTKEPPLJMKG3D7VWWID66E,10,NotParticipating,,,,,
AuctionsMaster,VCINCVUX2DBKQ6WP63NOGPEAQAYGHGSGQX7TSH4M5LI5NBPVAGIHJPMIPM,1000,NotParticipating,,,,,
,OGP6KK5KCMHT4GOEQXJ4LLNJ7D6P6IH7MV5WZ5EX4ZWACHP75ID5PPEE5E,"300,000,000",NotParticipating,,,,,
,AYBHAG2DAIOG26QEV35HKUBGWPMPOCCQ44MQEY32UOW3EXEMSZEIS37M2U,"300,000,000",NotParticipating,,,,,
,2XKK2L6HOBCYHGIGBS3N365FJKHS733QOX42HIYLSBARUIJHMGQZYAQDRY,"300,000,000",NotParticipating,,,,,
,ZBSPQQG7O5TR5MHPG3D5RS2TIFFD5NMOPR77VUKURMN6HV2BSN224ZHKGU,"300,000,000",NotParticipating,,,,,
,7NQED6NJ4NZU7B5HGGFU2ZEC2UZQYU2SA5S4QOE2EXBVAR4CNAHIXV2XYY,"300,000,000",NotParticipating,,,,,
,RX2ZKVJ43GNYDJNIOB6TIX26U7UEQFUQY46OMHX6CXLMMBHENJIH4YVLUQ,"300,000,000",NotParticipating,,,,,
,RHSKYCCZYYQ2BL6Z63626YUETJMLFGVVV47ED5D55EKIK4YFJ5DQT5CV4A,"300,000,000",NotParticipating,,,,,
,RJS6FDZ46ZZJIONLMMCKDJHYSJNHHAXNABMAVSGH23ULJSEAHZC6AQ6ALE,"300,000,000",NotParticipating,,,,,
,AZ2KKAHF2PJMEEUVN4E2ILMNJCSZLJJYVLBIA7HOY3BQ7AENOVVTXMGN3I,"300,000,000",NotParticipating,,,,,
,CGUKRKXNMEEOK7SJKOGXLRWEZESF24ELG3TAW6LUF43XRT2LX4OVQLU4BQ,"300,000,000",NotParticipating,,,,,
,VVW6BVYHBG7MZQXKAR3OSPUZVAZ66JMQHOBMIBJG6YSPR7SLMNAPA7UWGY,"250,000,000",NotParticipating,,,,,
,N5BGWISAJSYT7MVW2BDTTEHOXFQF4QQH4VKSMKJEOA4PHPYND43D6WWTIU,"1,740,000,000",NotParticipating,,,,,
,MKT3JAP2CEI5C4IX73U7QKRUF6JR7KPKE2YD6BLURFVPW6N7CYXVBSJPEQ,"158,000,000",NotParticipating,,,,,
,GVCPSWDNSL54426YL76DZFVIZI5OIDC7WEYSJLBFFEQYPXM7LTGSDGC4SA,"49,998,988",Online,lZ9z6g0oSlis/8ZlEyOMiGfX0XDUcObfpJEg5KjU0OA=,Kk+5CcpHWIXSMO9GiAvnfe+eNSeRtpDb2telHb6I1EE=,0,3000000,10000
,M7XKTBQXVQARLS7IVS6NVDHNLJFIAXR2CGGZTUDEKRIHRVLWL5TJFJOL5U,"50,000,000",Online,Z5gE/m2E/WSuaS5E8aYzO2DugTdSWQdc5W5BroCJdms=,QHHw03LnZQhKvjjIxVj3+qwgohOij2j3TBDMy7V9JMk=,0,3000000,10000
,QFYWTHPNZBKKZ4XG2OWVNEX6ETBISD2VJZTCMODIZKT3QHQ4TIRJVEDVV4,"50,000,000",Online,NthIIUyiiRVnU/W13ajFFV4EhTvT5EZR/9N6ZRD/Z7U=,3KtiTLYvHJqa+qkGFj2RcZC77bz9yUYKxBZt8B24Z+c=,0,3000000,10000
,DPOZQ6HRYLNNWVQL3I4XV4LMK5UZVROKGJBRIYIRNZUBMVHCU4DZWDBHYE,"50,000,000",Online,PBZ/agWgmwMdmWgt/W0NvdTN/XSTrVhPvRSMjmP5j90=,FDONnMcq1acmIBjJr3vz4kx4Q8ZRZ8oIH8xXRV5c4L8=,0,3000000,10000
,42GALMKS3HMDB24ZPOR237WQ5QDHL5NIRC3KIA4PCKENJZAD5RP5QPBFO4,"50,000,000",Online,p7axjoy3Wn/clD7IKoTK2Zahc5ZU+Qkt2POVHKugQU4=,PItHHw+b01XplxRBFmZniqmdm+RyJFYd0fDz+OP4D6o=,0,3000000,10000
,OXWIMTRZA5TVPABJF534EBBERJG367OLAB6VFN4RAW5P6CQEMXEX7VVDV4,"50,000,000",Online,RSOWYRM6/LD7MYxlZGvvF+WFGmBZg7UUutdkaWql0Xo=,sYSYFRL7AMJ61egushOYD5ABh9p06C4ZRV/OUSx7o3g=,0,3000000,10000
