struct name,location,mirrorOf
ABIMethodResult,go-algorand-sdk/transaction/atomicTransactionComposer.go,
APIV1RequestEnvelope,go-algorand-sdk/client/kmd/requests.go,
APIV1ResponseEnvelope,go-algorand-sdk/client/kmd/responses.go,
APIV1Wallet,go-algorand-sdk/client/kmd/common.go,
APIV1WalletHandle,go-algorand-sdk/client/kmd/common.go,
Account,go-algorand-sdk/types/genesis.go,
Account,go-algorand-sdk/client/v2/common/models/account.go,
Account,go-algorand-sdk/crypto/account.go,
AccountApp,go-algorand-sdk/types/statedelta.go,
AccountApplicationInformation,go-algorand-sdk/client/v2/algod/accountApplicationInformation.go,
AccountApplicationInformationParams,go-algorand-sdk/client/v2/algod/accountApplicationInformation.go,
AccountApplicationResponse,go-algorand-sdk/client/v2/common/models/account_application_response.go,
AccountAsset,go-algorand-sdk/types/statedelta.go,
AccountAssetInformation,go-algorand-sdk/client/v2/algod/accountAssetInformation.go,
AccountAssetInformationParams,go-algorand-sdk/client/v2/algod/accountAssetInformation.go,
AccountAssetResponse,go-algorand-sdk/client/v2/common/models/account_asset_response.go,
AccountBaseData,go-algorand-sdk/types/statedelta.go,
AccountData,go-algorand-sdk/types/statedelta.go,
AccountDeltas,go-algorand-sdk/types/statedelta.go,
AccountErrorResponse,go-algorand-sdk/client/v2/common/models/account_error_response.go,
AccountInformation,go-algorand-sdk/client/v2/algod/accountInformation.go,
AccountInformationParams,go-algorand-sdk/client/v2/algod/accountInformation.go,
AccountParticipation,go-algorand-sdk/client/v2/common/models/account_participation.go,
AccountResponse,go-algorand-sdk/client/v2/common/models/account_response.go,
AccountStateDelta,go-algorand-sdk/client/v2/common/models/account_state_delta.go,
AccountTotals,go-algorand-sdk/types/statedelta.go,
AccountsResponse,go-algorand-sdk/client/v2/common/models/accounts_response.go,
AddMethodCallParams,go-algorand-sdk/transaction/atomicTransactionComposer.go,
AlgoCount,go-algorand-sdk/types/statedelta.go,
AppBoxReference,go-algorand-sdk/types/applications.go,
AppLocalState,go-algorand-sdk/types/statedelta.go,
AppLocalStateDelta,go-algorand-sdk/types/statedelta.go,
AppParams,go-algorand-sdk/types/statedelta.go,
AppParamsDelta,go-algorand-sdk/types/statedelta.go,
AppResourceRecord,go-algorand-sdk/types/statedelta.go,
Application,go-algorand-sdk/client/v2/common/models/application.go,
ApplicationCallTxnFields,go-algorand-sdk/types/applications.go,
ApplicationFields,go-algorand-sdk/types/applications.go,
ApplicationLocalState,go-algorand-sdk/client/v2/common/models/application_local_state.go,
ApplicationLocalStatesResponse,go-algorand-sdk/client/v2/common/models/application_local_states_response.go,
ApplicationLogData,go-algorand-sdk/client/v2/common/models/application_log_data.go,
ApplicationLogsResponse,go-algorand-sdk/client/v2/common/models/application_logs_response.go,
ApplicationParams,go-algorand-sdk/client/v2/common/models/application_params.go,
ApplicationResponse,go-algorand-sdk/client/v2/common/models/application_response.go,
ApplicationStateSchema,go-algorand-sdk/client/v2/common/models/application_state_schema.go,
ApplicationsResponse,go-algorand-sdk/client/v2/common/models/applications_response.go,
ApplyData,go-algorand-sdk/types/block.go,
Arg,go-algorand-sdk/abi/interactions.go,
Asset,go-algorand-sdk/client/v2/common/models/asset.go,
AssetBalancesResponse,go-algorand-sdk/client/v2/common/models/asset_balances_response.go,
AssetConfigTxnFields,go-algorand-sdk/types/transaction.go,
AssetFreezeTxnFields,go-algorand-sdk/types/transaction.go,
AssetHolding,go-algorand-sdk/types/statedelta.go,
