score,go-algorand struct,go-algorand-sdk struct,go-algorand location,go-algorand-sdk location
1.00,APIV1ResponseEnvelope,APIV1ResponseEnvelope,go-algorand/daemon/kmd/lib/kmdapi/responses.go,go-algorand-sdk/client/kmd/responses.go
1.00,APIV1Wallet,APIV1Wallet,go-algorand/daemon/kmd/lib/kmdapi/common.go,go-algorand-sdk/client/kmd/common.go
1.00,APIV1WalletHandle,APIV1WalletHandle,go-algorand/daemon/kmd/lib/kmdapi/common.go,go-algorand-sdk/client/kmd/common.go
1.00,Account,Account,go-algorand/daemon/algod/api/server/v2/generated/private/types.go,go-algorand-sdk/types/genesis.go
1.00,Account,Account,go-algorand/daemon/algod/api/server/v2/generated/types.go,go-algorand-sdk/client/v2/common/models/account.go
1.00,Account,Account,go-algorand/daemon/algod/api/server/v2/generated/types.go,go-algorand-sdk/types/genesis.go
1.00,Account,Account,go-algorand/daemon/algod/api/server/v2/generated/types.go,go-algorand-sdk/crypto/account.go
1.00,Account,Account,go-algorand/daemon/algod/api/spec/v1/model.go,go-algorand-sdk/client/v2/common/models/account.go
1.00,Account,Account,go-algorand/daemon/algod/api/spec/v1/model.go,go-algorand-sdk/crypto/account.go
1.00,Account,Account,go-algorand/daemon/algod/api/server/v2/generated/private/types.go,go-algorand-sdk/client/v2/common/models/account.go
1.00,Account,Account,go-algorand/daemon/algod/api/server/v2/generated/private/types.go,go-algorand-sdk/crypto/account.go
1.00,Account,Account,go-algorand/daemon/algod/api/spec/v1/model.go,go-algorand-sdk/types/genesis.go
1.00,AccountApp,AccountApp,go-algorand/ledger/ledgercore/statedelta.go,go-algorand-sdk/types/statedelta.go
1.00,AccountApplicationInformationParams,AccountApplicationInformationParams,go-algorand/daemon/algod/api/server/v2/generated/types.go,go-algorand-sdk/client/v2/algod/accountApplicationInformation.go
1.00,AccountApplicationResponse,AccountApplicationResponse,go-algorand/daemon/algod/api/server/v2/generated/private/types.go,go-algorand-sdk/client/v2/common/models/account_application_response.go
1.00,AccountApplicationResponse,AccountApplicationResponse,go-algorand/daemon/algod/api/server/v2/generated/types.go,go-algorand-sdk/client/v2/common/models/account_application_response.go
1.00,AccountAsset,AccountAsset,go-algorand/ledger/ledgercore/statedelta.go,go-algorand-sdk/types/statedelta.go
1.00,AccountAssetInformationParams,AccountAssetInformationParams,go-algorand/daemon/algod/api/server/v2/generated/types.go,go-algorand-sdk/client/v2/algod/accountAssetInformation.go
1.00,AccountAssetResponse,AccountAssetResponse,go-algorand/daemon/algod/api/server/v2/generated/private/types.go,go-algorand-sdk/client/v2/common/models/account_asset_response.go
1.00,AccountAssetResponse,AccountAssetResponse,go-algorand/daemon/algod/api/server/v2/generated/types.go,go-algorand-sdk/client/v2/common/models/account_asset_response.go
1.00,AccountBaseData,AccountBaseData,go-algorand/ledger/ledgercore/accountdata.go,go-algorand-sdk/types/statedelta.go
1.00,AccountData,AccountData,go-algorand/data/basics/userBalance.go,go-algorand-sdk/types/statedelta.go
1.00,AccountData,AccountData,go-algorand/ledger/ledgercore/accountdata.go,go-algorand-sdk/types/statedelta.go
1.00,AccountDeltas,AccountDeltas,go-algorand/ledger/ledgercore/statedelta.go,go-algorand-sdk/types/statedelta.go
1.00,AccountInformationParams,AccountInformationParams,go-algorand/daemon/algod/api/server/v2/generated/types.go,go-algorand-sdk/client/v2/algod/accountInformation.go
1.00,AccountParticipation,AccountParticipation,go-algorand/daemon/algod/api/server/v2/generated/types.go,go-algorand-sdk/client/v2/common/models/account_participation.go
1.00,AccountParticipation,AccountParticipation,go-algorand/daemon/algod/api/server/v2/generated/private/types.go,go-algorand-sdk/client/v2/common/models/account_participation.go
1.00,AccountStateDelta,AccountStateDelta,go-algorand/daemon/algod/api/server/v2/generated/private/types.go,go-algorand-sdk/client/v2/common/models/account_state_delta.go
1.00,AccountStateDelta,AccountStateDelta,go-algorand/daemon/algod/api/server/v2/generated/types.go,go-algorand-sdk/client/v2/common/models/account_state_delta.go
1.00,AccountTotals,AccountTotals,go-algorand/ledger/ledgercore/totals.go,go-algorand-sdk/types/statedelta.go
1.00,AlgoCount,AlgoCount,go-algorand/ledger/ledgercore/totals.go,go-algorand-sdk/types/statedelta.go
1.00,AppLocalState,AppLocalState,go-algorand/daemon/algod/api/spec/v1/model.go,go-algorand-sdk/types/statedelta.go
1.00,AppLocalState,AppLocalState,go-algorand/data/basics/userBalance.go,go-algorand-sdk/types/statedelta.go
1.00,AppLocalStateDelta,AppLocalStateDelta,go-algorand/ledger/ledgercore/statedelta.go,go-algorand-sdk/types/statedelta.go
1.00,AppParams,AppParams,go-algorand/data/basics/userBalance.go,go-algorand-sdk/types/statedelta.go
1.00,AppParams,AppParams,go-algorand/daemon/algod/api/spec/v1/model.go,go-algorand-sdk/types/statedelta.go
1.00,AppParamsDelta,AppParamsDelta,go-algorand/ledger/ledgercore/statedelta.go,go-algorand-sdk/types/statedelta.go
1.00,AppResourceRecord,AppResourceRecord,go-algorand/ledger/ledgercore/statedelta.go,go-algorand-sdk/types/statedelta.go
